edge_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,record_count,scheduled,abs_median_deviation,relative_deviation_factor,flow
9022003782109/9022003782167,Nyhagen (Östhammar),Ramhäll vägskäl (Östhammar),60.11484,17.947329,60.098342,17.94811,16,386,-53,0.881,0.6407272727272727
9022003780138/9022003779191,Charlottendal (Uppsala),Gottorp (Uppsala),59.85436,17.797203,59.850245,17.785447,16,52,-6,0.881,0.6407272727272727
9022003779210/9022003780692,Högsta skolhållplats (Uppsala),Gränbytä (Uppsala),59.97821,17.575175,60.001568,17.563927,17,377,-79,0.827,0.6390454545454545
9022003781338/9022003781331,Korsbacken (Enköping),Valsbrunna (Enköping),59.767865,17.06748,59.758495,17.050347,16,122,17,0.878,0.6385454545454545
9022003760004/9022003760009,Örbyhus skola (Tierp),Örbyhus station (Tierp),60.225397,17.702149,60.228237,17.705129,16,258,-15,0.878,0.6385454545454545
9022003700228/9022003780593,Storvretabiblioteket (Uppsala),Vattholma gångtunnel,59.95977,17.703171,60.016018,17.743967,16,379,57,0.877,0.6378181818181818
9022003779476/9022003780987,Juvansbo Bolandet,Spångarängen (Uppsala),60.002675,17.593189,60.007882,17.607688,17,164,27,0.824,0.6367272727272727
9022003780969/9022003780967,Vedyxa skolhållplats (Uppsala),Sällinge vägskäl (Uppsala),59.84979,17.7715,59.850654,17.737395,14,236,0,1,0.6363636363636364
9022003780410/9022003779084,Göransgården (Danmarks k:a) (Uppsala),Danmarks kyrka (Uppsala),59.830783,17.750334,59.832687,17.74356,14,43,0,1,0.6363636363636364
9022003780968/9022003779012,Slavsta by (Uppsala),GUC (Uppsala),59.858565,17.707062,59.858158,17.702327,14,268,0,1,0.6363636363636364
