edge_id,source_id,sink_id,source_name,sink_name,source_lat,source_lon,sink_lat,sink_lon,Record Count,delay,delay / travel time
9022003191712/9022003191713,9022003191712,9022003191713,Kallhäll station (Järfälla),Jakobsberg station (Järfälla),59.453238,17.805753,59.423438,17.833069,927,60,0.3333333333333333
9022003191710/9022003191711,9022003191710,9022003191711,Bro station (Upplands-Bro),Kungsängen station (Upplands-Bro),59.511826,17.634571,59.477747,17.751855,927,0,0
9022003780526/9022003780027,9022003780526,9022003780027,Knutby affär (Uppsala),Knutby skola (Uppsala),59.908918,18.264028,59.911641,18.267734,927,-57,-0.38405797101449274
9022003105112/9022003191710,9022003105112,9022003191710,Bålsta station (SL-pendeln) (Håbo),Bro station (Upplands-Bro),59.568513,17.533685,59.511826,17.634571,927,-36,-0.12
9022003191704/9022003191703,9022003191704,9022003191703,Sollentuna station (Sollentuna),Häggvik station (Sollentuna),59.429049,17.947837,59.44428,17.932367,927,0,0
9022003191707/9022003191706,9022003191707,9022003191706,Solna station (Solna),Ulriksdals station (Solna),59.365136,18.010179,59.380983,18.000191,927,0,0
9022003191715/9022003191716,9022003191715,9022003191716,Spånga station (Stockholm),Sundbyberg station (Sundbyberg),59.383388,17.898632,59.360651,17.971298,927,-60,-0.16666666666666666
9022003191705/9022003191704,9022003191705,9022003191704,Helenelund station (Sollentuna),Sollentuna station (Sollentuna),59.409129,17.962238,59.429049,17.947837,927,0,0
9022003191719/9022003191707,9022003191719,9022003191707,Stockholm Odenplan,Solna station (Solna),59.343362,18.045933,59.365136,18.010179,927,-31,-0.10333333333333333
9022003780436/9022003780021,9022003780436,9022003780021,Långtibble (Vänge) (Uppsala),Vänge kyrka (Uppsala),59.858684,17.417413,59.857211,17.432798,924,-44,-0.3048780487804878
9022003780021/9022003780432,9022003780021,9022003780432,Vänge kyrka (Uppsala),Arkitektvägen (Vänge) (Uppsala),59.857211,17.432798,59.853987,17.442277,920,36,0.5538461538461539
9022003780432/9022003780425,9022003780432,9022003780425,Arkitektvägen (Vänge) (Uppsala),Vänge Ekeby (Uppsala),59.853987,17.442277,59.85123,17.453134,920,21,0.2727272727272727
